File: 150201.csv(array([0.32664947]), array([3.34443319e-06]))
File: 050201.csv(array([0.43476363]), array([2.38421592e-10]))
File: 110802.csv(array([-0.04730627]), array([0.51246209]))
File: 060301.csv(array([0.57322944]), array([2.44140727e-18]))
File: 2114.csv(array([0.50164131]), array([9.27469152e-14]))
File: 0703.csv(array([0.62127976]), array([4.24509168e-22]))
File: 2128.csv(array([0.32417737]), array([4.00292725e-06]))
File: 0105.csv(array([0.73114585]), array([1.01725749e-33]))
File: 0307.csv(array([0.43326923]), array([2.78870151e-10]))
File: 131002.csv(array([0.42900758]), array([4.34179119e-10]))
File: 0303.csv(array([0.57899928]), array([9.30104662e-19]))
File: 060701.csv(array([0.21088243]), array([0.00316198]))
File: 0101.csv(array([0.31906488]), array([5.77614352e-06]))
File: 2104.csv(array([-0.00995037]), array([0.89047727]))
File: 091101.csv(array([0.02245042]), array([0.7560161]))
File: 2138.csv(array([0.15793596]), array([0.02784951]))
File: 0505.csv(array([0.18420537]), array([0.01013633]))
File: 050205.csv(array([0.40576754]), array([4.36769425e-09]))
File: 0504.csv(array([0.54384201]), array([2.51197394e-16]))
File: 040201.csv(array([0.35804468]), array([2.96421791e-07]))
File: 030902.csv(array([-0.45713663]), array([2.07920171e-11]))
File: 070301.csv(array([0.54699228]), array([1.56187788e-16]))
File: 060106.csv(array([0.60646254]), array([7.16794306e-21]))
File: 0909.csv(array([0.06790689]), array([0.34680349]))
File: 0302.csv(array([0.66915212]), array([1.4976513e-26]))
File: 060502.csv(array([0.62815444]), array([1.08611224e-22]))
File: 131003.csv(array([0.29320256]), array([3.33927824e-05]))
File: 131001.csv(array([0.53984834]), array([4.55561355e-16]))
File: 060702.csv(array([0.16303195]), array([0.02312789]))
File: 0102.csv(array([0.50216815]), array([8.65740726e-14]))
File: 020508.csv(array([nan]), array([nan]))
File: 060104.csv(array([0.53563535]), array([8.46433998e-16]))
File: 0704.csv(array([0.73399259]), array([4.27040442e-34]))
File: 2113.csv(array([0.4129999]), array([2.16970962e-09]))
File: 2107.csv(array([0.55920969]), array([2.35759786e-17]))
File: 091102.csv(array([0.11463567]), array([0.11146944]))
File: 040203.csv(array([0.511989]), array([2.3457664e-14]))
File: 2305.csv(array([0.47342399]), array([3.13881019e-12]))
File: 040202.csv(array([0.04746082]), array([0.51108372]))
File: 2106.csv(array([0.25703285]), array([0.00029701]))
File: 030901.csv(array([0.00411587]), array([0.95457928]))
File: 2112.csv(array([0.60864281]), array([4.77307583e-21]))
File: 070302.csv(array([0.63141737]), array([5.61938096e-23]))
File: 0103.csv(array([0.70178165]), array([4.29844947e-30]))
File: 050401.csv(array([0.54462442]), array([2.23338121e-16]))
File: 0301.csv(array([0.45631792]), array([2.28054273e-11]))
File: 060501.csv(array([0.3995148]), array([7.89164928e-09]))
