02/29 09:06:00 PM | # START #
02/29 09:06:30 PM | #### Train: [  2/100] Step 1140/3950 MSE 0.0039+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1170/3950 MSE 0.0038+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1200/3950 MSE 0.0038+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1230/3950 MSE 0.0037+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1260/3950 MSE 0.0037+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1290/3950 MSE 0.0037+-0.00000
02/29 09:06:30 PM | #### Train: [  2/100] Step 1320/3950 MSE 0.0037+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1350/3950 MSE 0.0037+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1380/3950 MSE 0.0036+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1410/3950 MSE 0.0036+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1440/3950 MSE 0.0036+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1470/3950 MSE 0.0036+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1500/3950 MSE 0.0035+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1530/3950 MSE 0.0035+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1560/3950 MSE 0.0035+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1590/3950 MSE 0.0034+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1620/3950 MSE 0.0034+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1650/3950 MSE 0.0034+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1680/3950 MSE 0.0034+-0.00000
02/29 09:06:31 PM | #### Train: [  2/100] Step 1710/3950 MSE 0.0033+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1740/3950 MSE 0.0033+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1770/3950 MSE 0.0033+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1800/3950 MSE 0.0032+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1830/3950 MSE 0.0032+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1860/3950 MSE 0.0032+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1890/3950 MSE 0.0032+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1920/3950 MSE 0.0032+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1950/3950 MSE 0.0032+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 1980/3950 MSE 0.0031+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 2010/3950 MSE 0.0031+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 2040/3950 MSE 0.0031+-0.00000
02/29 09:06:32 PM | #### Train: [  2/100] Step 2070/3950 MSE 0.0031+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2100/3950 MSE 0.0030+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2130/3950 MSE 0.0030+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2160/3950 MSE 0.0030+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2190/3950 MSE 0.0030+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2220/3950 MSE 0.0029+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2250/3950 MSE 0.0029+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2280/3950 MSE 0.0029+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2310/3950 MSE 0.0029+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2340/3950 MSE 0.0028+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2370/3950 MSE 0.0028+-0.00000
02/29 09:06:33 PM | #### Train: [  2/100] Step 2400/3950 MSE 0.0028+-0.00000
